freight_id,uf,city,de_type,vehicle,driver_id,company_id,price_por_dia,contract_days,foi_cancelada,atuacao_falcon
131116,SP,Guarujá,Coleta/Entrega,Carreta,165570.0,2910,305.0,7,nao,sim
131117,SP,Guarujá,Coleta/Entrega,Carreta,70516.0,2910,305.0,7,nao,nao
131119,SP,Guarujá,Coleta/Entrega,Carreta,,2910,305.0,6,sim,sim
131196,MG,São Joaquim de Bicas,Diária,Carreta,,2125,305.0,3,sim,nao
131197,MG,São Joaquim de Bicas,Diária,Carreta,,2125,305.0,3,sim,nao
131202,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,4,sim,nao
131203,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,4,sim,nao
131204,MG,São Joaquim de Bicas,Diária,Bitrem,,2125,375.0,3,sim,nao
131232,SP_RM,Guarulhos,Coleta/Entrega,Truck,81544.0,3271,266.53846153846155,26,nao,nao
131252,SP,Mirassol,Diária,Carreta,68206.0,2860,325.0,26,nao,nao
131253,SP,Mirassol,Diária,Carreta,90329.0,2860,325.0,28,nao,nao
131305,SP,Salto,Coleta/Entrega,Manobrista,178863.0,1886,280.0,29,nao,nao
131370,SP_RM,São Paulo,Diária,Carreta,42887.0,3147,427.6666666666667,3,nao,nao
131371,SP_RM,São Paulo,Diária,Carreta,52763.0,3147,427.6666666666667,3,nao,nao
131375,SP,Piracicaba,Diária,Carreta,73299.0,1004,305.0,2,nao,nao
131380,SP,Cordeirópolis,Diária,Carreta,2244.0,1953,254.0,3,nao,nao
131386,SP,Piracicaba,Diária,Carreta,19880.0,1004,305.0,2,nao,nao
131425,SP,Jacareí,Diária,Carreta,48822.0,3226,305.0,15,nao,nao
131429,SP,Cruzeiro,Diária,Carreta,89376.0,3226,305.0,14,nao,nao
131453,MG,Pouso Alegre,Diária,Carreta,42239.0,953,325.0,5,nao,nao
131469,SP,Amparo,Coleta/Entrega,Truck,125990.0,3423,260.0,11,nao,nao
131481,SP,Cubatão,Diária,Carreta,953.0,3762,274.4,5,nao,nao
131500,SP,Pindamonhangaba,Diária,Carreta,56798.0,1379,325.0,21,nao,nao
131501,SP,Pindamonhangaba,Diária,Carreta,202654.0,1379,325.0,12,nao,nao
131502,SP,Amparo,Diária,Carreta,37850.0,2337,305.0,18,nao,nao
131537,SP,Salto,Coleta/Entrega,Manobrista,253477.0,1886,280.0,28,nao,nao
131582,SP,Sorocaba,Diária,Vanderleia,203701.0,804,357.42857142857144,7,nao,nao
131589,RS,Estrela,Coleta/Entrega,Toco,23710.0,3783,230.0,7,nao,nao
131603,SP,Guarujá,Coleta/Entrega,Carreta,37999.0,2910,305.0,6,nao,sim
131604,SP,Guarujá,Coleta/Entrega,Carreta,15079.0,2910,305.0,6,nao,nao
131605,SP,Guarujá,Coleta/Entrega,Carreta,149686.0,2910,305.0,18,nao,nao
131621,SP,Campo Limpo Paulista,Coleta/Entrega,Carreta,20258.0,3467,330.0,2,nao,nao
131654,SP,Vinhedo,Diária,Carreta,163405.0,2182,305.0,14,nao,nao
