mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,RJ,Coleta/Entrega,135783,3/4,231,231.0,1,sim,10.0,1.0
2025-01-01,SP,Diária,135790,3/4,1100,220.0,5,nao,17.0,8.0
2025-01-01,SP,Diária,135792,3/4,1100,220.0,5,nao,1.0,1.0
2025-01-01,PR,Diária,135794,Carreta,12350,441.07142857142856,28,sim,34.0,18.0
2025-01-01,SP,Diária,135798,Carreta,2135,305.0,7,sim,26.0,24.0
2025-01-01,RJ,Coleta/Entrega,135803,Toco,2070,230.0,9,sim,12.0,3.0
2025-01-01,SP,Diária,135807,Vanderleia,16775,305.0,55,sim,9.0,2.0
2025-01-01,SP,Diária,135810,Vanderleia,9150,305.0,30,sim,3.0,1.0
2025-01-01,BA,Diária,135811,Carreta,915,305.0,3,nao,12.0,376.0
2025-01-01,MA,Diária,135819,Carreta,10400,325.0,32,nao,11.0,81.0
2025-01-01,MA,Diária,135822,Carreta,10400,325.0,32,sim,9.0,8.0
2025-01-01,SP,Ajudante,135833,,420,420.0,1,sim,3.0,1.0
2025-01-01,SP,Coleta/Entrega,135922,3/4,940,235.0,4,sim,20.0,93.0
2025-01-01,MG,Coleta/Entrega,136000,Toco,2300,230.0,10,sim,19.0,1510.0
2025-01-01,SP,Coleta/Entrega,136114,Truck,4420,260.0,17,sim,4.0,1.0
2025-01-01,PR,Ajudante,136250,,1200,120.0,10,nao,4.0,1.0
2025-01-01,SP,Coleta/Entrega,136296,3/4,451,225.5,2,nao,12.0,4.0
2025-01-01,SP,Coleta/Entrega,136300,3/4,451,225.5,2,nao,8.0,2.0
2025-01-01,SP,Coleta/Entrega,136303,Truck,290,290.0,1,sim,3.0,1.0
2025-01-01,MG,Coleta/Entrega,136444,Bi-Truck,2700,270.0,10,sim,7.0,1.0
2025-01-01,MG,Coleta/Entrega,136446,Bi-Truck,830,276.6666666666667,3,sim,10.0,2.0
2025-01-01,SP,Coleta/Entrega,136469,Truck,1300,260.0,5,sim,12.0,2.0
2025-01-01,SP,Diária,136514,Carreta,3660,305.0,12,sim,14.0,6.0
2025-01-01,MG,Diária,136519,3/4,440,220.0,2,sim,5.0,2.0
2025-01-01,RS,Ajudante,136521,,160,160.0,1,nao,8.0,2.0
2025-01-01,SE,Diária,136523,Truck,1560,260.0,6,sim,2.0,353.0
2025-01-01,MG,Diária,136530,Carreta,1300,325.0,4,sim,2.0,1.0
