uf,mes,de_type,freight_id,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso
RS,2025-02-01,Diária,139066,7150,325.0,22,sim,3.0,1.0,RS,1
SC,2025-01-01,Diária,139068,1525,305.0,5,sim,8.0,2.0,SC,1
RJ,2025-02-01,Coleta/Entrega,139069,4270,305.0,14,sim,11.0,5.0,RJ,1
SP,2025-02-01,Coleta/Entrega,139074,305,305.0,1,sim,12.0,1.0,SP,1
MG,2025-02-01,Diária,139076,3160,395.0,8,sim,6.0,2.0,MG,1
SC,2025-02-01,Diária,139077,5525,325.0,17,sim,2.0,1.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,139089,338,338.0,1,sim,11.0,2.0,SP_RM,1
PR,2025-02-01,Diária,139090,11537,320.47222222222223,36,sim,5.0,1.0,PR,1
SP,2025-02-01,Diária,139094,2600,325.0,8,sim,2.0,1.0,SP,1
SP_RM,2025-02-01,Ajudante,139095,150,150.0,1,nao,8.0,29.0,SP_RM,0
SP,2025-02-01,Diária,139110,9150,305.0,30,sim,6.0,2.0,SP,1
SC,2025-02-01,Diária,139116,3965,305.0,13,sim,5.0,1.0,SC,1
PR,2025-02-01,Diária,139143,610,305.0,2,nao,5.0,1.0,PR,0
SP,2025-02-01,Coleta/Entrega,139208,632,210.66666666666666,3,sim,12.0,2.0,SP,1
RJ,2025-02-01,Coleta/Entrega,139231,1911,273.0,7,sim,12.0,2.0,RJ,1
SP_RM,2025-02-01,Coleta/Entrega,139258,1100,220.0,5,sim,12.0,2.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,139270,1440,160.0,9,sim,3.0,1.0,SP,1
SP,2025-02-01,Coleta/Entrega,139283,1911,238.875,8,sim,8.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,139285,465,232.5,2,sim,12.0,2.0,SP_RM,1
RS,2025-02-01,Coleta/Entrega,139297,920,230.0,4,sim,12.0,2.0,RS,1
MT,2025-01-01,Coleta/Entrega,139300,2135,305.0,7,sim,11.0,2.0,MT,1
SP_RM,2025-02-01,Coleta/Entrega,139313,1100,220.0,5,sim,11.0,4.0,SP_RM,1
PR,2025-02-01,Coleta/Entrega,139335,1610,230.0,7,sim,6.0,1.0,PR,1
RJ,2025-02-01,Coleta/Entrega,139336,253,253.0,1,sim,4.0,14.0,RJ,1
RS,2025-02-01,Coleta/Entrega,139352,540,270.0,2,sim,12.0,2.0,RS,1
PR,2025-02-01,Coleta/Entrega,139362,1380,230.0,6,sim,12.0,2.0,PR,1
PR,2025-02-01,Coleta/Entrega,139363,1380,230.0,6,sim,12.0,2.0,PR,1
RS,2025-02-01,Coleta/Entrega,139382,600,300.0,2,nao,8.0,1.0,RS,0
SP_RM,2025-02-01,Coleta/Entrega,139388,915,305.0,3,sim,12.0,1.0,SP_RM,1
SC,2025-02-01,Coleta/Entrega,139442,6240,260.0,24,sim,9.0,1.0,SC,1
MG,2025-02-01,Ajudante,139459,150,150.0,1,sim,6.0,11.0,MG,1
PE,2025-02-01,Diária,139496,4620,330.0,14,sim,13.0,8.0,PE,1
SP,2025-02-01,Coleta/Entrega,139497,164,164.0,1,nao,2.0,1.0,SP,0
RS,2025-02-01,Diária,139501,2440,305.0,8,nao,2.0,1.0,RS,0
MG,2025-02-01,Diária,139502,5525,325.0,17,sim,8.0,4.0,MG,1
MG,2025-02-01,Diária,139508,460,230.0,2,nao,3.0,1.0,MG,0
SP,2025-02-01,Diária,139523,7512,341.45454545454544,22,sim,7.0,10.0,SP,1
MG,2025-02-01,Diária,139529,4270,305.0,14,sim,1.0,1.0,MG,1
MS,2025-02-01,Ajudante,139538,750,150.0,5,sim,13.0,6.0,MS,1
MG,2025-02-01,Diária,139539,4575,305.0,15,sim,17.0,8.0,MG,1
SP_RM,2025-02-01,Diária,139542,1525,305.0,5,sim,7.0,6.0,SP_RM,1
SP,2025-02-01,Diária,139548,220,220.0,1,nao,15.0,33.0,SP,0
PR,2025-02-01,Diária,139553,1220,305.0,4,sim,9.0,2.0,PR,1
RJ,2025-02-01,Diária,139557,14945,305.0,49,sim,3.0,1.0,RJ,1
SC,2025-02-01,Diária,139565,4880,305.0,16,sim,3.0,1.0,SC,1
SP_RM,2025-02-01,Ajudante,139571,560,140.0,4,sim,8.0,14.0,SP_RM,1
SP,2025-02-01,Diária,139582,372,372.0,1,sim,6.0,10.0,SP,1
SP_RM,2025-02-01,Diária,139583,4575,305.0,15,sim,1.0,1.0,SP_RM,1
SC,2025-02-01,Diária,139589,1200,240.0,5,sim,33.0,13.0,SC,1
PR,2025-02-01,Diária,139590,3965,305.0,13,sim,6.0,2.0,PR,1
RJ,2025-02-01,Diária,139615,1220,305.0,4,nao,5.0,1.0,RJ,0
SP_RM,2025-02-01,Coleta/Entrega,139621,1300,260.0,5,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,139628,120,120.0,1,nao,20.0,33.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,139629,260,260.0,1,sim,12.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,139630,780,260.0,3,sim,5.0,1.0,SP_RM,1
PR,2025-02-01,Coleta/Entrega,139635,750,375.0,2,sim,12.0,2.0,PR,1
SP_RM,2025-02-01,Ajudante,139637,150,150.0,1,sim,1.0,1.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,139643,1440,240.0,6,sim,8.0,2.0,SP,1
SP_RM,2025-02-01,Diária,139665,1220,305.0,4,sim,1.0,1.0,SP_RM,1
RS,2025-02-01,Diária,139673,1830,305.0,6,nao,1.0,1.0,RS,0
SC,2025-02-01,Coleta/Entrega,139674,1040,260.0,4,sim,11.0,2.0,SC,1
SC,2025-02-01,Coleta/Entrega,139691,263,263.0,1,sim,8.0,1.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,139700,1250,178.57142857142858,7,sim,14.0,4.0,SP_RM,1
SP_RM,2025-02-01,Diária,139705,1300,260.0,5,sim,1.0,1.0,SP_RM,1
SP,2025-02-01,Diária,139707,2440,305.0,8,sim,7.0,3.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,139708,1105,221.0,5,sim,8.0,1.0,SP_RM,1
MT,2025-02-01,Diária,139713,305,305.0,1,sim,1.0,1.0,MT,1
SP,2025-02-01,Diária,139720,1220,305.0,4,sim,20.0,10.0,SP,1
SP,2025-02-01,Coleta/Entrega,139722,276,276.0,1,sim,12.0,1.0,SP,1
