uf,mes,de_type,freight_id,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso
RS,2025-02-01,Coleta/Entrega,140732,1125,375.0,3,sim,10.0,2.0,RS,1
MG,2025-02-01,Coleta/Entrega,140734,8625,375.0,23,sim,1.0,1.0,MG,1
SP,2025-02-01,Coleta/Entrega,140738,160,160.0,1,nao,7.0,2.0,SP,0
SP,2025-02-01,Ajudante,140744,990,165.0,6,sim,7.0,2.0,SP,1
SP_RM,2025-02-01,Ajudante,140758,120,120.0,1,sim,6.0,8.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140759,270,270.0,1,nao,6.0,1.0,SP,0
SP_RM,2025-02-01,Coleta/Entrega,140763,1820,227.5,8,sim,9.0,5.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140769,2420,172.85714285714286,14,sim,11.0,4.0,SP,1
PR,2025-02-01,Coleta/Entrega,140770,460,230.0,2,sim,2.0,1.0,PR,1
PR,2025-02-01,Coleta/Entrega,140771,1380,230.0,6,sim,6.0,11.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,140777,915,305.0,3,sim,24.0,13.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140778,2691,299.0,9,sim,14.0,3.0,SP_RM,1
SP,2025-02-01,Diária,140790,5460,260.0,21,sim,1.0,1.0,SP,1
SP,2025-02-01,Ajudante,140794,520,130.0,4,sim,12.0,16.0,SP,1
SP,2025-02-01,Coleta/Entrega,140804,305,305.0,1,sim,12.0,2.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,140808,760,190.0,4,sim,15.0,5.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140815,164,164.0,1,nao,7.0,6.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,140817,160,160.0,1,sim,13.0,3.0,SP_RM,1
SP_RM,2025-02-01,Diária,140824,2232,372.0,6,sim,15.0,9.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140831,220,220.0,1,nao,12.0,2.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,140851,320,160.0,2,sim,8.0,3.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140882,610,203.33333333333334,3,sim,8.0,3.0,SP,1
RJ,2025-02-01,Coleta/Entrega,140902,1830,305.0,6,nao,18.0,9.0,RJ,0
PR,2025-02-01,Coleta/Entrega,140909,160,160.0,1,nao,3.0,3.0,PR,0
SP,2025-02-01,Coleta/Entrega,140913,210,210.0,1,sim,9.0,4.0,SP,1
SC,2025-02-01,Ajudante,140916,800,100.0,8,sim,14.0,6.0,SC,1
PR,2025-02-01,Ajudante,140921,150,150.0,1,nao,22.0,25.0,PR,0
PR,2025-02-01,Ajudante,140922,600,150.0,4,nao,10.0,6.0,PR,0
MT,2025-02-01,Diária,140928,5032,296.0,17,sim,1.0,1.0,MT,1
SP_RM,2025-02-01,Coleta/Entrega,140944,1150,230.0,5,sim,5.0,5.0,SP_RM,1
SP,2025-02-01,Diária,140949,10370,305.0,34,sim,2.0,1.0,SP,1
RS,2025-02-01,Diária,140955,915,305.0,3,sim,1.0,1.0,RS,1
SP,2025-02-01,Diária,140962,14487,301.8125,48,sim,4.0,5.0,SP,1
PR,2025-02-01,Coleta/Entrega,140965,1560,260.0,6,sim,9.0,4.0,PR,1
MG,2025-02-01,Diária,140967,3371,280.9166666666667,12,sim,15.0,7.0,MG,1
SP,2025-02-01,Ajudante,140972,555,185.0,3,nao,14.0,3.0,SP,0
SC,2025-02-01,Coleta/Entrega,140995,1440,240.0,6,sim,3.0,1.0,SC,1
RS,2025-02-01,Ajudante,140997,180,180.0,1,nao,4.0,1.0,RS,0
SP,2025-02-01,Coleta/Entrega,141000,220,220.0,1,sim,3.0,1.0,SP,1
SP,2025-02-01,Diária,141029,7440,372.0,20,sim,3.0,1.0,SP,1
RJ,2025-02-01,Coleta/Entrega,141033,13115,305.0,43,sim,8.0,6.0,RJ,1
PR,2025-02-01,Coleta/Entrega,141040,305,305.0,1,sim,8.0,2.0,PR,1
MG,2025-02-01,Diária,141043,610,305.0,2,nao,7.0,6.0,MG,0
SP,2025-02-01,Diária,141047,1300,325.0,4,sim,10.0,5.0,SP,1
MG,2025-02-01,Ajudante,141066,300,150.0,2,sim,15.0,22.0,MG,1
MG,2025-02-01,Ajudante,141079,150,150.0,1,sim,21.0,12.0,MG,1
SP_RM,2025-02-01,Ajudante,141101,125,125.0,1,sim,12.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141125,1300,260.0,5,sim,9.0,2.0,SP_RM,1
SP_RM,2025-02-01,Diária,141127,1525,305.0,5,sim,1.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141163,235,235.0,1,sim,10.0,3.0,SP_RM,1
SP_RM,2025-02-01,Diária,141166,915,305.0,3,sim,10.0,8.0,SP_RM,1
SC,2025-02-01,Diária,141168,3660,305.0,12,sim,4.0,1.0,SC,1
PR,2025-02-01,Diária,141170,3250,325.0,10,sim,5.0,2.0,PR,1
SC,2025-02-01,Diária,141186,130,130.0,1,sim,6.0,4.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,141192,325,325.0,1,nao,24.0,8.0,SP_RM,0
PR,2025-02-01,Diária,141196,1486,371.5,4,sim,13.0,10.0,PR,1
SP,2025-02-01,Diária,141202,5625,375.0,15,sim,1.0,1.0,SP,1
PA,2025-02-01,Diária,141205,3812,317.6666666666667,12,sim,1.0,1.0,"(AL, DF, PA, RN, SE)",1
SP,2025-02-01,Diária,141209,1312,437.3333333333333,3,sim,6.0,2.0,SP,1
SP_RM,2025-02-01,Diária,141212,1495,299.0,5,sim,6.0,3.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,141217,276,276.0,1,sim,11.0,3.0,SP,1
RS,2025-02-01,Diária,141223,780,260.0,3,sim,4.0,5.0,RS,1
SP,2025-02-01,Diária,141229,372,372.0,1,sim,7.0,3.0,SP,1
SP,2025-02-01,Ajudante,141236,150,150.0,1,nao,11.0,9.0,SP,0
SP_RM,2025-02-01,Diária,141255,1860,372.0,5,sim,2.0,1.0,SP_RM,1
SP_RM,2025-02-01,Diária,141271,4575,305.0,15,sim,3.0,1.0,SP_RM,1
SC,2025-02-01,Diária,141274,10780,385.0,28,sim,13.0,3.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,141287,960,160.0,6,nao,3.0,1.0,SP_RM,0
RJ,2025-02-01,Coleta/Entrega,141292,2990,199.33333333333334,15,sim,7.0,1.0,RJ,1
SC,2025-02-01,Diária,141306,3305,413.125,8,sim,2.0,1.0,SC,1
SP_RM,2025-02-01,Diária,141315,1035,345.0,3,sim,1.0,1.0,SP_RM,1
MA,2025-02-01,Diária,141318,7800,325.0,24,sim,3.0,1.0,MA,1
SP_RM,2025-02-01,Ajudante,141324,360,120.0,3,sim,11.0,7.0,SP_RM,1
SP_RM,2025-02-01,Diária,141325,340,340.0,1,nao,4.0,1.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141329,4784,251.78947368421052,19,sim,13.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141330,4784,251.78947368421052,19,sim,8.0,1.0,SP_RM,1
MG,2025-02-01,Diária,141352,305,305.0,1,sim,1.0,1.0,MG,1
SP,2025-02-01,Coleta/Entrega,141354,610,305.0,2,sim,5.0,1.0,SP,1
SP_RM,2025-02-01,Diária,141363,3000,250.0,12,nao,9.0,3.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141384,1060,265.0,4,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,141394,280,140.0,2,sim,11.0,6.0,SP_RM,1
PR,2025-02-01,Diária,141403,2925,417.85714285714283,7,sim,14.0,15.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,141420,920,230.0,4,sim,12.0,2.0,SP_RM,1
SC,2025-02-01,Ajudante,141421,360,180.0,2,sim,2.0,1.0,SC,1
MG,2025-02-01,Diária,141424,6815,400.88235294117646,17,sim,9.0,2.0,MG,1
SP_RM,2025-02-01,Diária,141425,701,350.5,2,sim,7.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141429,780,260.0,3,nao,8.0,2.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141433,520,260.0,2,sim,12.0,3.0,SP_RM,1
SP,2025-02-01,Diária,141436,9455,305.0,31,sim,4.0,2.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,141440,520,260.0,2,sim,11.0,2.0,SP_RM,1
SP_RM,2025-02-01,Diária,141445,1525,305.0,5,sim,2.0,1.0,SP_RM,1
SC,2025-01-01,Coleta/Entrega,141450,2600,260.0,10,sim,12.0,3.0,SC,1
SP,2025-02-01,Diária,141464,5185,305.0,17,sim,10.0,3.0,SP,1
MS,2025-02-01,Coleta/Entrega,141470,920,230.0,4,sim,6.0,1.0,MS,1
SP_RM,2025-02-01,Ajudante,141471,150,150.0,1,nao,4.0,1.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141477,230,230.0,1,nao,10.0,3.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141478,230,230.0,1,nao,3.0,2.0,SP_RM,0
SP,2025-02-01,Ajudante,141492,800,200.0,4,sim,7.0,2.0,SP,1
SC,2025-02-01,Coleta/Entrega,141511,880,220.0,4,sim,6.0,1.0,SC,1
SP_RM,2025-02-01,Ajudante,141517,540,180.0,3,nao,12.0,3.0,SP_RM,0
SC,2025-02-01,Diária,141528,915,305.0,3,sim,3.0,1.0,SC,1
CE,2025-02-01,Diária,141530,7475,325.0,23,sim,9.0,2.0,CE,1
SP,2025-02-01,Coleta/Entrega,141540,610,305.0,2,sim,10.0,3.0,SP,1
PR,2025-02-01,Diária,141541,10075,325.0,31,sim,7.0,2.0,PR,1
SP_RM,2025-02-01,Diária,141545,915,305.0,3,nao,5.0,10.0,SP_RM,0
PR,2025-02-01,Diária,141548,4880,305.0,16,sim,6.0,4.0,PR,1
RS,2025-02-01,Diária,141550,915,305.0,3,sim,2.0,1.0,RS,1
MG,2025-02-01,Diária,141551,7930,305.0,26,sim,2.0,1.0,MG,1
RS,2025-02-01,Diária,141552,915,305.0,3,sim,7.0,6.0,RS,1
SP,2025-02-01,Diária,141563,915,305.0,3,nao,7.0,18.0,SP,0
MA,2025-02-01,Diária,141567,10400,325.0,32,sim,1.0,1.0,MA,1
SP,2025-02-01,Diária,141568,620,310.0,2,sim,9.0,27.0,SP,1
SP,2025-02-01,Ajudante,141571,750,93.75,8,nao,14.0,9.0,SP,0
SP,2025-02-01,Diária,141575,1525,305.0,5,sim,4.0,1.0,SP,1
RJ,2025-02-01,Diária,141587,1525,305.0,5,nao,8.0,4.0,RJ,0
SP_RM,2025-02-01,Ajudante,141589,130,130.0,1,sim,6.0,1.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,141595,400,200.0,2,nao,8.0,1.0,SP,0
SP_RM,2025-02-01,Coleta/Entrega,141597,880,220.0,4,nao,12.0,2.0,SP_RM,0
SP,2025-02-01,Ajudante,141612,850,170.0,5,sim,23.0,10.0,SP,1
SP,2025-02-01,Diária,141613,8875,355.0,25,nao,7.0,12.0,SP,0
SP,2025-02-01,Diária,141614,610,305.0,2,sim,2.0,1.0,SP,1
SP,2025-02-01,Diária,141615,305,305.0,1,sim,5.0,1.0,SP,1
MG,2025-02-01,Coleta/Entrega,141617,840,280.0,3,sim,13.0,2.0,MG,1
SC,2025-02-01,Coleta/Entrega,141618,305,305.0,1,sim,11.0,2.0,SC,1
PR,2025-02-01,Diária,141619,305,305.0,1,sim,8.0,2.0,PR,1
SP_RM,2025-02-01,Diária,141625,1096,365.3333333333333,3,sim,4.0,5.0,SP_RM,1
SP,2025-02-01,Ajudante,141638,1100,157.14285714285714,7,sim,5.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,141666,160,160.0,1,sim,7.0,1.0,SP_RM,1
PR,2025-02-01,Diária,141673,1040,260.0,4,sim,5.0,1.0,PR,1
SP_RM,2025-02-01,Ajudante,141681,660,220.0,3,sim,8.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141691,1525,305.0,5,sim,6.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141693,235,235.0,1,nao,6.0,3.0,SP_RM,0
RS,2025-02-01,Coleta/Entrega,141694,500,250.0,2,sim,8.0,5.0,RS,1
SP_RM,2025-02-01,Coleta/Entrega,141708,305,305.0,1,nao,32.0,33.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141725,1300,260.0,5,sim,9.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141726,220,220.0,1,sim,12.0,2.0,SP_RM,1
SC,2025-02-01,Coleta/Entrega,141764,266,266.0,1,sim,3.0,1.0,SC,1
MG,2025-02-01,Ajudante,141773,750,150.0,5,sim,9.0,3.0,MG,1
MG,2025-02-01,Ajudante,141774,150,150.0,1,sim,9.0,3.0,MG,1
MG,2025-02-01,Ajudante,141775,150,150.0,1,sim,12.0,6.0,MG,1
MG,2025-02-01,Ajudante,141784,900,150.0,6,sim,5.0,2.0,MG,1
MG,2025-02-01,Ajudante,141790,750,150.0,5,sim,22.0,7.0,MG,1
SP_RM,2025-02-01,Diária,141793,3965,396.5,10,sim,4.0,3.0,SP_RM,1
SP,2025-02-01,Ajudante,141816,170,170.0,1,sim,11.0,3.0,SP,1
SP,2025-02-01,Coleta/Entrega,141820,220,220.0,1,nao,11.0,23.0,SP,0
RS,2025-02-01,Diária,141821,4950,330.0,15,sim,13.0,13.0,RS,1
SP_RM,2025-02-01,Coleta/Entrega,141825,2200,220.0,10,sim,12.0,2.0,SP_RM,1
SC,2025-02-01,Ajudante,141834,180,180.0,1,sim,3.0,1.0,SC,1
SP,2025-02-01,Coleta/Entrega,141844,192,192.0,1,nao,9.0,4.0,SP,0
PE,2025-02-01,Coleta/Entrega,141848,220,220.0,1,sim,6.0,2.0,PE,1
SC,2025-02-01,Diária,141855,3960,330.0,12,nao,7.0,24.0,SC,0
SC,2025-02-01,Coleta/Entrega,141865,720,240.0,3,nao,6.0,3.0,SC,0
SP,2025-02-01,Diária,141874,3355,305.0,11,sim,4.0,1.0,SP,1
SC,2025-02-01,Coleta/Entrega,141877,305,305.0,1,nao,12.0,2.0,SC,0
MG,2025-02-01,Diária,141889,780,260.0,3,nao,6.0,5.0,MG,0
MG,2025-02-01,Coleta/Entrega,141896,1875,375.0,5,sim,1.0,1.0,MG,1
SP,2025-02-01,Diária,141899,3250,325.0,10,sim,5.0,3.0,SP,1
RS,2025-02-01,Diária,141901,915,305.0,3,sim,6.0,9.0,RS,1
PR,2025-02-01,Diária,141911,8540,305.0,28,sim,5.0,1.0,PR,1
SP,2025-02-01,Ajudante,141913,180,180.0,1,nao,19.0,7.0,SP,0
PR,2025-02-01,Coleta/Entrega,141917,1125,375.0,3,sim,12.0,1.0,PR,1
SP,2025-02-01,Diária,141920,5490,305.0,18,sim,2.0,3.0,SP,1
PR,2025-02-01,Coleta/Entrega,141922,320,160.0,2,sim,7.0,3.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,141935,610,305.0,2,sim,8.0,3.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,141941,1050,150.0,7,sim,4.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,141942,900,128.57142857142858,7,sim,9.0,3.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,141944,220,220.0,1,sim,11.0,1.0,SP,1
SP_RM,2025-02-01,Ajudante,141945,750,150.0,5,nao,1.0,1.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,141948,750,150.0,5,nao,3.0,2.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141958,520,260.0,2,nao,12.0,5.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141966,1040,260.0,4,nao,10.0,4.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,141977,1540,220.0,7,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,141978,1353,225.5,6,nao,12.0,4.0,SP_RM,0
MG,2025-02-01,Diária,141979,3050,305.0,10,nao,1.0,1.0,MG,0
SP,2025-02-01,Diária,141980,975,325.0,3,sim,9.0,2.0,SP,1
SP,2025-02-01,Coleta/Entrega,141983,750,375.0,2,nao,13.0,2.0,SP,0
MG,2025-02-01,Diária,142031,3355,305.0,11,sim,4.0,7.0,MG,1
MG,2025-02-01,Coleta/Entrega,142040,484,242.0,2,sim,1.0,1.0,MG,1
SP,2025-02-01,Ajudante,142041,400,200.0,2,sim,8.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,142053,5185,272.89473684210526,19,sim,1.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142056,305,305.0,1,nao,1.0,1.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,142058,305,305.0,1,nao,1.0,1.0,SP_RM,0
RJ,2025-02-01,Diária,142063,3965,305.0,13,sim,3.0,3.0,RJ,1
RJ,2025-02-01,Diária,142066,1830,305.0,6,sim,3.0,2.0,RJ,1
SP_RM,2025-02-01,Diária,142068,5390,414.61538461538464,13,sim,5.0,4.0,SP_RM,1
SP_RM,2025-02-01,Diária,142072,610,305.0,2,sim,4.0,3.0,SP_RM,1
SP_RM,2025-02-01,Diária,142073,6696,372.0,18,nao,1.0,1.0,SP_RM,0
SP_RM,2025-02-01,Diária,142076,610,305.0,2,nao,13.0,21.0,SP_RM,0
SP,2025-02-01,Diária,142077,5580,372.0,15,sim,8.0,4.0,SP,1
SP,2025-02-01,Diária,142078,9300,372.0,25,sim,2.0,1.0,SP,1
PR,2025-02-01,Diária,142081,770,385.0,2,sim,5.0,2.0,PR,1
SP_RM,2025-02-01,Ajudante,142093,150,150.0,1,sim,28.0,18.0,SP_RM,1
SP,2025-02-01,Diária,142096,3965,305.0,13,sim,14.0,6.0,SP,1
SP_RM,2025-02-01,Diária,142099,2440,305.0,8,sim,16.0,15.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142100,440,220.0,2,sim,11.0,19.0,SP_RM,1
MG,2025-02-01,Diária,142103,4270,305.0,14,sim,10.0,5.0,MG,1
SP,2025-02-01,Coleta/Entrega,142106,276,276.0,1,sim,13.0,3.0,SP,1
RS,2025-02-01,Diária,142114,744,372.0,2,nao,4.0,1.0,RS,0
SP_RM,2025-02-01,Coleta/Entrega,142119,260,260.0,1,sim,6.0,2.0,SP_RM,1
SC,2025-02-01,Ajudante,142135,360,180.0,2,sim,8.0,2.0,SC,1
SP_RM,2025-02-01,Ajudante,142137,150,150.0,1,nao,21.0,16.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,142153,170,170.0,1,nao,8.0,2.0,SP_RM,0
SP_RM,2025-02-01,Diária,142156,732,366.0,2,sim,17.0,14.0,SP_RM,1
SP,2025-02-01,Diária,142160,5730,382.0,15,sim,4.0,1.0,SP,1
SC,2025-02-01,Diária,142161,2440,305.0,8,sim,3.0,4.0,SC,1
SC,2025-02-01,Coleta/Entrega,142168,3380,260.0,13,sim,10.0,1.0,SC,1
SP,2025-02-01,Diária,142170,5250,375.0,14,sim,1.0,1.0,SP,1
SP,2025-02-01,Diária,142171,5625,375.0,15,sim,1.0,1.0,SP,1
SP,2025-02-01,Diária,142173,5625,375.0,15,sim,1.0,1.0,SP,1
SP,2025-02-01,Diária,142177,5625,375.0,15,sim,1.0,1.0,SP,1
SP_RM,2025-02-01,Ajudante,142184,480,160.0,3,sim,1.0,1.0,SP_RM,1
PR,2025-02-01,Diária,142191,3375,375.0,9,sim,2.0,2.0,PR,1
PR,2025-02-01,Ajudante,142199,160,160.0,1,sim,7.0,2.0,PR,1
SP,2025-02-01,Diária,142216,5795,305.0,19,sim,4.0,1.0,SP,1
PE,2025-02-01,Ajudante,142219,1650,150.0,11,sim,4.0,1.0,PE,1
SP,2025-02-01,Diária,142228,5208,372.0,14,sim,4.0,1.0,SP,1
SC,2025-02-01,Diária,142241,9135,315.0,29,sim,6.0,5.0,SC,1
SP,2025-02-01,Coleta/Entrega,142243,5720,260.0,22,sim,12.0,2.0,SP,1
SP_RM,2025-02-01,Diária,142251,625,312.5,2,sim,8.0,6.0,SP_RM,1
PE,2025-02-01,Diária,142287,1625,325.0,5,nao,6.0,3.0,PE,0
GO,2025-02-01,Coleta/Entrega,142288,230,230.0,1,sim,11.0,5.0,GO,1
SP,2025-02-01,Diária,142290,4575,305.0,15,sim,2.0,1.0,SP,1
RJ,2025-02-01,Coleta/Entrega,142300,350,350.0,1,sim,12.0,3.0,RJ,1
SP_RM,2025-02-01,Ajudante,142306,172,172.0,1,sim,7.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142311,130,130.0,1,sim,15.0,4.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142325,690,230.0,3,sim,10.0,2.0,SP_RM,1
SP,2025-02-01,Ajudante,142338,240,120.0,2,nao,7.0,5.0,SP,0
SP_RM,2025-02-01,Coleta/Entrega,142340,230,230.0,1,sim,9.0,2.0,SP_RM,1
SC,2025-02-01,Coleta/Entrega,142363,241,241.0,1,nao,12.0,2.0,SC,0
PR,2025-02-01,Coleta/Entrega,142370,260,260.0,1,sim,1.0,1.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,142371,230,230.0,1,nao,12.0,1.0,SP_RM,0
SP,2025-02-01,Coleta/Entrega,142372,780,260.0,3,sim,1.0,1.0,SP,1
RS,2025-02-01,Ajudante,142377,170,170.0,1,sim,9.0,2.0,RS,1
GO,2025-02-01,Diária,142383,4125,375.0,11,sim,1.0,1.0,GO,1
SP_RM,2025-02-01,Ajudante,142384,170,170.0,1,nao,13.0,5.0,SP_RM,0
MG,2025-02-01,Diária,142391,260,260.0,1,sim,1.0,1.0,MG,1
SP,2025-02-01,Diária,142400,4880,305.0,16,nao,3.0,1.0,SP,0
RJ,2025-02-01,Diária,142408,990,330.0,3,sim,3.0,1.0,RJ,1
RJ,2025-02-01,Diária,142412,1040,260.0,4,sim,3.0,1.0,RJ,1
CE,2025-02-01,Diária,142414,312,312.0,1,sim,4.0,33.0,CE,1
RJ,2025-02-01,Diária,142423,15250,305.0,50,sim,1.0,1.0,RJ,1
SP,2025-02-01,Diária,142426,2440,305.0,8,sim,8.0,7.0,SP,1
SP,2025-02-01,Diária,142431,14625,375.0,39,sim,1.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,142434,260,260.0,1,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142435,120,120.0,1,nao,8.0,3.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,142441,600,150.0,4,sim,12.0,5.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142450,520,260.0,2,sim,2.0,17.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,142466,260,260.0,1,nao,12.0,2.0,SP,0
SE,2025-02-01,Diária,142467,690,230.0,3,sim,8.0,3.0,"(AL, DF, PA, RN, SE)",1
SP_RM,2025-02-01,Ajudante,142489,750,150.0,5,sim,14.0,7.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142490,450,150.0,3,sim,6.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142491,150,150.0,1,sim,12.0,3.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142492,750,150.0,5,nao,13.0,3.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,142494,750,150.0,5,sim,3.0,1.0,SP_RM,1
SP_RM,2025-02-01,Diária,142502,457,228.5,2,sim,8.0,3.0,SP_RM,1
SP_RM,2025-02-01,Diária,142506,1982,330.3333333333333,6,sim,7.0,2.0,SP_RM,1
SP_RM,2025-02-01,Diária,142507,780,260.0,3,sim,25.0,29.0,SP_RM,1
RJ,2025-02-01,Diária,142509,7700,350.0,22,sim,7.0,4.0,RJ,1
SP,2025-02-01,Diária,142510,5490,305.0,18,sim,1.0,1.0,SP,1
RS,2025-02-01,Diária,142513,3797,316.4166666666667,12,sim,10.0,3.0,RS,1
SP,2025-02-01,Ajudante,142514,360,180.0,2,sim,7.0,2.0,SP,1
SP,2025-02-01,Diária,142527,8690,395.0,22,sim,1.0,1.0,SP,1
MT,2025-02-01,Diária,142532,2062,343.6666666666667,6,sim,2.0,1.0,MT,1
SP_RM,2025-02-01,Diária,142537,1860,372.0,5,sim,3.0,26.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142540,660,220.0,3,sim,11.0,2.0,SP_RM,1
SP,2025-02-01,Diária,142559,5280,330.0,16,nao,3.0,1.0,SP,0
SP_RM,2025-02-01,Diária,142560,2440,305.0,8,nao,6.0,2.0,SP_RM,0
MS,2025-02-01,Ajudante,142571,900,150.0,6,sim,6.0,1.0,MS,1
SP_RM,2025-02-01,Coleta/Entrega,142572,440,220.0,2,sim,11.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142573,160,160.0,1,nao,10.0,3.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,142580,750,150.0,5,sim,1.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142589,600,150.0,4,sim,23.0,7.0,SP_RM,1
BA,2025-02-01,Diária,142618,1830,305.0,6,sim,19.0,8.0,BA,1
SP_RM,2025-02-01,Diária,142619,230,230.0,1,sim,8.0,3.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142635,600,150.0,4,sim,5.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142636,799,266.3333333333333,3,sim,7.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,142639,600,150.0,4,sim,12.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142651,940,235.0,4,sim,12.0,3.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142652,940,235.0,4,sim,9.0,1.0,SP_RM,1
MG,2025-02-01,Diária,142656,3640,260.0,14,sim,3.0,1.0,MG,1
SC,2025-02-01,Diária,142662,1582,316.4,5,sim,8.0,4.0,SC,1
MG,2025-02-01,Diária,142663,3965,305.0,13,sim,12.0,22.0,MG,1
GO,2025-02-01,Coleta/Entrega,142669,220,220.0,1,sim,12.0,2.0,GO,1
SP,2025-02-01,Diária,142672,2275,325.0,7,sim,5.0,3.0,SP,1
SP_RM,2025-02-01,Diária,142675,1830,305.0,6,sim,2.0,1.0,SP_RM,1
RN,2025-02-01,Diária,142680,12200,305.0,40,sim,5.0,2.0,"(AL, DF, PA, RN, SE)",1
MG,2025-02-01,Diária,142682,6710,305.0,22,sim,2.0,1.0,MG,1
SC,2025-02-01,Ajudante,142690,300,150.0,2,sim,1.0,1.0,SC,1
PR,2025-02-01,Diária,142698,2745,305.0,9,nao,1.0,1.0,PR,0
RS,2025-02-01,Coleta/Entrega,142726,1150,230.0,5,sim,11.0,2.0,RS,1
SP,2025-02-01,Diária,142737,4270,305.0,14,sim,4.0,1.0,SP,1
SP,2025-02-01,Ajudante,142739,150,150.0,1,nao,7.0,2.0,SP,0
SP,2025-02-01,Diária,142782,10675,305.0,35,sim,4.0,2.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,142794,1830,305.0,6,sim,5.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,142796,1830,305.0,6,sim,4.0,1.0,SP_RM,1
SP,2025-02-01,Ajudante,142804,555,185.0,3,nao,12.0,2.0,SP,0
SP,2025-02-01,Ajudante,142809,370,185.0,2,sim,10.0,2.0,SP,1
SC,2025-02-01,Coleta/Entrega,142821,1440,240.0,6,sim,10.0,1.0,SC,1
